Al2O3,CaO,MgO,SiO2,Tliq.C
5.774317,47.24552,8.764654,38.2155,1380
5.376671,26.39519,32.64432,35.58381,1480
5.770277,48.26163,8.758521,37.20956,1409
5.67704,43.35296,14.36167,36.60833,1407
5.609066,39.77431,18.44662,36.17,1382
5.564647,37.43578,21.116,35.88356,1384
5.499322,33.99661,25.04174,35.46232,1401
5.456618,31.74834,27.6081,35.18694,1407
5.766243,49.27632,8.752398,36.20504,1475
5.673135,44.35464,14.35179,35.62043,1438
5.605254,40.76644,18.43408,35.19422,1419
5.560895,38.42163,21.10177,34.9157,1409
5.45301,32.71883,27.58984,34.23832,1427
5.349232,27.23309,33.83096,33.58671,1486
5.762214,50.28959,8.746283,35.20191,1545
5.715347,47.8022,11.56686,34.9156,1480
5.669235,45.35495,14.34192,34.6339,1463
5.601447,41.75722,18.42156,34.21977,1455
5.557148,39.40615,21.08755,33.94914,1438
5.491998,35.94847,25.00839,33.55114,1427
5.449407,33.68803,27.57161,33.29094,1417
5.407472,31.46239,30.09538,33.03476,1429
5.66534,46.35387,14.33207,33.64871,1495
5.642594,45.14182,15.70198,33.51361,1470
5.597645,42.74665,18.40906,33.24664,1481
5.553406,40.38935,21.07335,32.98389,1464
5.531548,39.22462,22.38976,32.85406,1436
5.424788,33.53584,28.8194,32.21997,1482
5.661451,47.35143,14.32223,32.66488,1549
5.593848,43.73475,18.39657,32.27483,1505
5.549669,41.37123,21.05917,32.01993,1490
5.463372,36.75446,26.26015,31.52202,1544
5.657568,48.34762,14.31241,31.6824,1595
5.590057,44.7215,18.38411,31.30434,1518
5.545937,42.35179,21.04501,31.05727,1512
5.58627,45.70692,18.37165,30.33516,1565
5.542211,43.33103,21.03087,30.0959,1558
5.49884,40.99231,23.64846,29.86039,1608
9.019806,18.5867,9.127254,63.26624,1245
8.868031,13.97419,14.95612,62.20166,1250
8.855334,16.10099,14.9347,60.10897,1235
8.804913,24.54761,14.84967,51.79782,1281
9.024653,32.81769,6.088105,52.06955,1243
8.68984,22.12011,19.05227,50.13778,1283
8.792397,26.64425,14.82856,49.7348,1274
8.612782,20.87996,21.78845,48.7188,1302
8.973147,33.71807,7.566699,49.74208,1243
8.897402,31.27645,10.50396,49.3222,1243
8.707384,26.38663,17.62222,47.28376,1275
8.636042,24.0768,20.39081,46.89635,1284
8.922225,34.60823,9.02851,47.44103,1233
8.847333,32.17288,11.93697,47.04282,1238
8.773689,29.77807,14.79701,46.65124,1248
8.915794,35.66402,9.022002,46.39819,1234
8.659427,27.29095,18.98559,45.06403,1263
8.588863,24.98637,21.72794,44.69682,1307
8.947187,37.95866,7.544808,45.54935,1250
8.834696,34.26872,11.91992,44.97667,1261
8.724999,30.67041,16.18638,44.41821,1261
8.582905,26.00941,21.71287,43.69482,1307
8.513577,23.73538,24.40915,43.34188,1355
8.411664,20.39239,28.37289,42.82305,1406
8.934264,40.06976,7.53391,43.46206,1295
8.670766,32.58183,17.54811,41.1993,1304
8.959294,43.44002,6.044014,41.55667,1334
8.594045,31.25181,20.29165,39.86251,1303
8.524539,28.93245,23.0029,39.54011,1338
8.383164,25.40412,28.27676,37.93596,1421
8.317015,23.18737,30.859,37.63662,1445
8.219726,19.92708,34.65684,37.19636,1498
8.790751,41.55725,11.86063,37.79137,1421
8.646523,36.68308,17.49905,37.17134,1373
8.506953,31.96627,22.95544,36.57133,1406
8.371818,27.39932,28.23849,35.99038,1458
8.240908,22.97519,33.3563,35.4276,1472
8.052043,16.59248,40.73981,34.61567,1554
8.895717,46.36664,7.501404,37.23624,1427
8.564297,36.33423,20.22141,34.88007,1405
8.354855,30.382,28.18127,33.08187,1490
8.914104,50.78457,6.013527,34.2878,1478
8.765834,45.68966,11.82701,33.71749,1435
8.693534,43.20525,14.66182,33.43939,1437
8.622417,40.76147,17.45026,33.16584,1413
8.552455,38.35737,20.19345,32.89674,1408
8.483618,35.99195,22.89247,32.63196,1477
7.910584,16.30098,45.36063,30.4278,1586
8.687429,44.22795,14.65153,32.43309,1439
8.616411,41.77752,17.43811,32.16796,1426
8.753429,47.7471,11.81027,31.6892,1477
8.681334,45.24922,14.64125,31.4282,1450
8.610415,42.79216,17.42597,31.17146,1448
8.506184,39.18092,21.51878,30.79412,1432
8.438086,36.82161,24.19271,30.5476,1446
8.272521,31.08535,30.69391,29.94822,1515
8.675245,46.26906,14.63098,30.42472,1472
8.604425,43.80538,17.41385,30.17635,1460
8.814155,52.35197,8.919152,29.91473,1610
8.598445,44.81718,17.40174,29.18262,1482
8.426591,38.8143,24.15975,28.59936,1545
8.592473,45.8276,17.38966,28.19027,1502
8.488672,42.18712,21.47448,27.84972,1544
12.4039,4.510617,9.413749,73.67172,1406
12.17076,2.212918,15.39468,70.22165,1412
12.19657,6.652833,13.8846,67.266,1324
